1) Prix theorique P(S0) = 151.222
2) Delta at S0 not separately shown here, see arrays below.
3) Gamma at S0 likewise.
4) Theta at S0 likewise.
5) Rho at S0 = 23.8414
6) Vega at S0 = 4.01599e-07

Spot, Price(t=0), Delta, Gamma, Theta
0,0,1.51222,0,0
2,3.02444,1.51222,8.36385e-07,-3.01617
4,6.04887,1.51222,4.18193e-07,-6.03235
6,9.07331,1.51222,2.78795e-07,-9.04852
8,12.0978,1.51222,2.09096e-07,-12.0647
10,15.1222,1.51222,1.67277e-07,-15.0809
12,18.1466,1.51222,1.39398e-07,-18.0971
14,21.1711,1.51222,1.19484e-07,-21.1132
16,24.1955,1.51222,1.04548e-07,-24.1294
18,27.22,1.51222,9.29318e-08,-27.1456
20,30.2444,1.51222,8.36387e-08,-30.1618
22,33.2689,1.51222,7.60351e-08,-33.178
24,36.2933,1.51222,6.96989e-08,-36.1941
26,39.3178,1.51222,6.43374e-08,-39.2103
28,42.3422,1.51222,5.97419e-08,-42.2265
30,45.3666,1.51222,5.57591e-08,-45.2427
32,48.3911,1.51222,5.22742e-08,-48.2589
34,51.4155,1.51222,4.91992e-08,-51.2751
36,54.44,1.51222,4.64659e-08,-54.2912
38,57.4644,1.51222,4.40204e-08,-57.3074
40,60.4889,1.51222,4.18194e-08,-60.3236
42,63.5133,1.51222,3.9828e-08,-63.3398
44,66.5378,1.51222,3.80176e-08,-66.356
46,69.5622,1.51222,3.63647e-08,-69.3722
48,72.5867,1.51222,3.48495e-08,-72.3883
50,75.6111,1.51222,3.34555e-08,-75.4045
52,78.6356,1.51222,3.21687e-08,-78.4207
54,81.66,1.51222,3.09773e-08,-81.4369
56,84.6845,1.51222,2.9871e-08,-84.4531
58,87.7089,1.51222,2.8841e-08,-87.4693
60,90.7334,1.51222,2.78796e-08,-90.4854
62,93.7578,1.51222,2.69803e-08,-93.5016
64,96.7823,1.51222,2.61371e-08,-96.5178
66,99.8067,1.51222,2.53451e-08,-99.534
68,102.831,1.51222,2.45996e-08,-102.55
70,105.856,1.51222,2.38968e-08,-105.566
72,108.88,1.51222,2.3233e-08,-108.583
74,111.904,1.51222,2.26051e-08,-111.599
76,114.929,1.51222,2.20102e-08,-114.615
78,117.953,1.51222,2.14458e-08,-117.631
80,120.978,1.51222,2.09097e-08,-120.647
82,124.002,1.51222,2.03997e-08,-123.663
84,127.027,1.51222,1.9914e-08,-126.68
86,130.051,1.51222,1.94509e-08,-129.696
88,133.076,1.51222,1.90088e-08,-132.712
90,136.1,1.51222,1.85864e-08,-135.728
92,139.125,1.51222,1.81823e-08,-138.744
94,142.149,1.51222,1.77955e-08,-141.761
96,145.173,1.51223,1.74247e-08,-144.777
98,148.198,1.51223,1.70691e-08,-147.793
100,151.222,1.01223,-0.5,-150.809
102,152.247,0.512225,1.59745e-08,-149.836
104,153.271,0.512225,1.52662e-08,-148.863
106,154.296,0.512225,1.45995e-08,-147.891
108,155.32,0.512225,1.39713e-08,-146.918
110,156.345,0.512225,1.33787e-08,-145.945
112,157.369,0.512225,1.28191e-08,-144.972
114,158.393,0.512225,1.22902e-08,-143.999
116,159.418,0.512225,1.17899e-08,-143.026
118,160.442,0.512225,1.13161e-08,-142.053
120,161.467,0.512225,1.08671e-08,-141.08
122,162.491,0.512225,1.04412e-08,-140.107
124,163.516,0.512225,1.00369e-08,-139.135
126,164.54,0.512225,9.65287e-09,-138.162
128,165.565,0.512225,9.2877e-09,-137.189
130,166.589,0.512225,8.94028e-09,-136.216
132,167.614,0.512225,8.60948e-09,-135.243
134,168.638,0.512225,8.2943e-09,-134.27
136,169.662,0.512226,7.99381e-09,-133.297
138,170.687,0.512226,7.70711e-09,-132.324
140,171.711,0.512226,7.43341e-09,-131.351
142,172.736,0.512226,7.17198e-09,-130.379
144,173.76,0.512226,6.92209e-09,-129.406
146,174.785,0.512226,6.68315e-09,-128.433
148,175.809,0.512226,6.45448e-09,-127.46
150,176.834,0.512226,6.23552e-09,-126.487
152,177.858,0.512226,6.02581e-09,-125.514
